sigungu_cd,total_bldg,old_bldg,avg_floors,old_bldg_ratio,sigungu_nm
11110,8000,3125,2.58,0.3906,종로구
11140,6300,3640,3.2,0.5778,중구
11170,4285,3162,2.75,0.7379,용산구
11200,2800,2100,3.32,0.75,성동구
11215,2900,1844,3.27,0.6359,광진구
11230,3100,2156,3.25,0.6955,동대문구
11260,3000,1799,3.26,0.5997,중랑구
11290,5959,3774,2.79,0.6333,성북구
11305,2900,2206,2.91,0.7607,강북구
11320,1700,1105,4.79,0.65,도봉구
11350,1500,969,3.44,0.646,노원구
11380,3700,2159,3.41,0.5835,은평구
11410,3555,2363,2.75,0.6647,서대문구
11440,3873,2415,3.22,0.6235,마포구
11470,2000,1229,3.1,0.6145,양천구
11500,3237,1480,3.62,0.4572,강서구
11530,2700,1618,3.43,0.5993,구로구
11545,1700,1101,3.1,0.6476,금천구
11560,4805,2662,3.37,0.554,영등포구
11590,2800,1608,2.8,0.5743,동작구
11620,3300,1973,3.15,0.5979,관악구
11650,2286,1038,5.94,0.4541,서초구
11680,3200,1666,4.83,0.5206,강남구
11710,3100,1452,6.28,0.4684,송파구
11740,2400,1354,4.1,0.5642,강동구
