adm_cd,adm_nm,year,fire_count,death_cnt,injury_cnt,property_damage
1111051500,서울특별시 종로구 청운효자동,2021,47,0,7,61896
1111051500,서울특별시 종로구 청운효자동,2022,10,0,0,16334
1111051500,서울특별시 종로구 청운효자동,2023,5,0,0,392
1111051500,서울특별시 종로구 청운효자동,2024,3,0,0,5940
1111053000,서울특별시 종로구 사직동,2021,88,1,4,78901
1111053000,서울특별시 종로구 사직동,2022,10,0,0,14919
1111053000,서울특별시 종로구 사직동,2023,9,1,0,13198
1111053000,서울특별시 종로구 사직동,2024,18,0,0,12857
1111054000,서울특별시 종로구 삼청동,2021,21,0,1,107090
1111054000,서울특별시 종로구 삼청동,2022,4,0,1,14572
1111054000,서울특별시 종로구 삼청동,2023,5,0,0,97
1111054000,서울특별시 종로구 삼청동,2024,7,0,0,7230
1111055000,서울특별시 종로구 부암동,2021,39,0,0,107135
1111055000,서울특별시 종로구 부암동,2022,10,2,0,14166
1111055000,서울특별시 종로구 부암동,2023,9,0,0,2528
1111055000,서울특별시 종로구 부암동,2024,7,1,0,55438
1111056000,서울특별시 종로구 평창동,2021,82,0,4,179049
1111056000,서울특별시 종로구 평창동,2022,9,0,0,5944
1111056000,서울특별시 종로구 평창동,2023,18,0,1,179953
1111056000,서울특별시 종로구 평창동,2024,6,0,0,2215
1111057000,서울특별시 종로구 무악동,2021,19,0,0,62140
1111057000,서울특별시 종로구 무악동,2022,5,0,0,1271
1111057000,서울특별시 종로구 무악동,2023,2,0,0,4130
1111057000,서울특별시 종로구 무악동,2024,3,0,0,4596
1111058000,서울특별시 종로구 교남동,2021,20,0,1,39344
1111058000,서울특별시 종로구 교남동,2022,2,0,0,1342
1111058000,서울특별시 종로구 교남동,2023,3,0,0,1905
1111058000,서울특별시 종로구 교남동,2024,11,0,0,16313
1111060000,서울특별시 종로구 가회동,2021,27,0,0,25804
1111060000,서울특별시 종로구 가회동,2022,5,0,0,916
1111060000,서울특별시 종로구 가회동,2023,3,0,0,404
1111060000,서울특별시 종로구 가회동,2024,3,0,0,25
1111061500,서울특별시 종로구 종로1·2·3·4가동,2021,288,11,17,928173
1111061500,서울특별시 종로구 종로1·2·3·4가동,2022,63,0,5,90647
1111061500,서울특별시 종로구 종로1·2·3·4가동,2023,65,0,3,49899
1111061500,서울특별시 종로구 종로1·2·3·4가동,2024,52,0,1,130059
1111063000,서울특별시 종로구 종로5·6가동,2021,79,7,5,386980
1111063000,서울특별시 종로구 종로5·6가동,2022,15,0,0,9771
1111063000,서울특별시 종로구 종로5·6가동,2023,19,0,4,113573
1111063000,서울특별시 종로구 종로5·6가동,2024,17,0,6,152612
1111064000,서울특별시 종로구 이화동,2021,67,0,4,280730
1111064000,서울특별시 종로구 이화동,2022,8,0,0,3235
1111064000,서울특별시 종로구 이화동,2023,11,0,0,2489
1111064000,서울특별시 종로구 이화동,2024,13,0,0,4914
1111065000,서울특별시 종로구 혜화동,2021,105,0,3,101431
1111065000,서울특별시 종로구 혜화동,2022,22,0,4,70814
1111065000,서울특별시 종로구 혜화동,2023,10,0,0,3436
1111065000,서울특별시 종로구 혜화동,2024,20,1,2,5468
1111067000,서울특별시 종로구 창신1동,2021,65,0,0,182962
1111067000,서울특별시 종로구 창신1동,2022,9,0,0,2427
1111067000,서울특별시 종로구 창신1동,2023,11,0,0,18498
1111067000,서울특별시 종로구 창신1동,2024,14,0,0,41075
1111068000,서울특별시 종로구 창신2동,2021,37,0,2,19135
1111068000,서울특별시 종로구 창신2동,2022,3,0,0,15828
1111068000,서울특별시 종로구 창신2동,2023,6,0,0,11587
1111068000,서울특별시 종로구 창신2동,2024,5,2,2,22316
1111069000,서울특별시 종로구 창신3동,2021,18,0,0,31833
1111069000,서울특별시 종로구 창신3동,2022,4,0,0,874
1111069000,서울특별시 종로구 창신3동,2023,6,0,1,6010
1111069000,서울특별시 종로구 창신3동,2024,5,0,0,137232
1111070000,서울특별시 종로구 숭인1동,2021,25,1,2,153541
1111070000,서울특별시 종로구 숭인1동,2022,2,0,0,8347
1111070000,서울특별시 종로구 숭인1동,2023,3,0,0,3215
1111071000,서울특별시 종로구 숭인2동,2021,58,0,2,574867
1111071000,서울특별시 종로구 숭인2동,2022,10,0,0,3945
1111071000,서울특별시 종로구 숭인2동,2023,8,0,1,2607
1111071000,서울특별시 종로구 숭인2동,2024,11,0,1,55625
1114052000,서울특별시 중구 소공동,2021,68,1,3,258430
1114052000,서울특별시 중구 소공동,2022,15,0,6,18617
1114052000,서울특별시 중구 소공동,2023,8,0,0,152452
1114052000,서울특별시 중구 소공동,2024,11,0,0,168545
1114054000,서울특별시 중구 회현동,2021,94,1,3,1147942
1114054000,서울특별시 중구 회현동,2022,11,0,1,353415
