adm_cd,adm_nm,sigungu_nm,fire_rate_per_10k,pred_fire_rate,risk_score,risk_grade,ratio_65plus,old_bldg_ratio,avg_floors,multi_use_cnt,multi_use_per_pop,avg_living_pop,avg_65plus_pop,fire_count,fire_injury,fire_damage
1117065000,서울특별시 용산구 이태원1동,용산구,35.7981,24.8323,10.0,매우높음,0.1205,0.7379,2.75,0.0,0.0,11360.02216768559,1368.5052855895196,40.66666666666666,0.3333333333333333,35700.0
1117070000,서울특별시 용산구 보광동,용산구,31.7082,23.0998,9.19,매우높음,0.1492,0.7379,2.75,0.0,0.0,10512.523640029112,1568.5558826965066,33.333333333333336,1.0,31025.666666666668
1132070000,서울특별시 도봉구 방학2동,도봉구,31.8339,22.5218,8.93,매우높음,0.249,0.65,4.79,0.0,0.0,11518.123357505458,2868.03656330968,36.66666666666666,0.6666666666666666,67470.0
1111067000,서울특별시 종로구 창신1동,종로구,34.1009,22.0887,8.72,매우높음,0.1965,0.3906,2.58,0.0,0.0,8308.679958988356,1632.5578742449054,28.33333333333333,0.0,67962.33333333333
1114065000,서울특별시 중구 신당5동,중구,25.1347,21.1344,8.28,매우높음,0.1599,0.5778,3.2,0.0,0.0,8620.230053511645,1378.2933479803492,21.666666666666668,0.3333333333333333,105378.33333333331
1132052100,서울특별시 도봉구 도봉1동,도봉구,25.262,19.9335,7.72,매우높음,0.2753,0.65,4.79,0.0,0.0,18209.179920796945,5013.498656240903,46.0,1.6666666666666667,119041.33333333331
1117066000,서울특별시 용산구 이태원2동,용산구,17.9875,19.902,7.71,매우높음,0.1345,0.7379,2.75,0.0,0.0,11118.824287327148,1495.8366618176856,20.0,1.0,39372.66666666666
1114060500,서울특별시 중구 을지로동,중구,24.2346,19.7728,7.65,매우높음,0.1393,0.5778,3.2,0.0,0.0,17605.66403422489,2452.615085325692,42.66666666666666,2.6666666666666665,705782.0
1114067000,서울특별시 중구 황학동,중구,24.8931,19.588,7.56,매우높음,0.1548,0.5778,3.2,0.0,0.0,13256.68761775837,2052.3095493358805,33.0,2.333333333333333,98994.33333333331
1111063000,서울특별시 종로구 종로5·6가동,종로구,22.5122,19.32,7.44,매우높음,0.178,0.3906,2.58,0.0,0.0,16731.66463918304,2978.6459043577147,37.66666666666666,3.0,170108.0
1111061500,서울특별시 종로구 종로1·2·3·4가동,종로구,22.8016,19.2775,7.42,매우높음,0.129,0.3906,2.58,0.0,0.0,60814.318296752186,7845.950606049855,138.66666666666666,8.333333333333334,356239.6666666667
1111071000,서울특별시 종로구 숭인2동,종로구,20.5896,19.2776,7.42,매우높음,0.1776,0.3906,2.58,0.0,0.0,12303.921020160116,2185.225551901383,25.33333333333333,1.0,193806.3333333333
1114057000,서울특별시 중구 필동,중구,23.3136,19.2284,7.39,매우높음,0.109,0.5778,3.2,0.0,0.0,12153.139233851893,1324.2605741903203,28.33333333333333,0.0,56456.66666666666
1117052000,서울특별시 용산구 용산2가동,용산구,16.9218,19.1314,7.35,매우높음,0.1503,0.7379,2.75,0.0,0.0,12016.042008906476,1805.433999863537,20.33333333333333,0.3333333333333333,45965.66666666666
1141069000,서울특별시 서대문구 남가좌1동,서대문구,20.6688,19.1454,7.35,매우높음,0.1412,0.6647,2.75,0.0,0.0,8708.78155525837,1229.976655867904,18.0,0.6666666666666666,26857.33333333333
1153059500,서울특별시 구로구 가리봉동,구로구,24.1857,18.9045,7.24,매우높음,0.1237,0.5993,3.43,0.0,0.0,10887.980900272927,1346.7333129912663,26.33333333333333,0.6666666666666666,19928.666666666668
1117053000,서울특별시 용산구 남영동,용산구,23.3122,18.7736,7.18,매우높음,0.1291,0.7379,2.75,0.0,0.0,16443.4758525746,2122.1943377820235,38.333333333333336,2.333333333333333,43470.66666666666
1117068500,서울특별시 용산구 한남동,용산구,21.9075,18.7789,7.18,매우높음,0.1192,0.7379,2.75,3.0,0.9617928969460983,31191.74626393741,3716.950056632096,68.33333333333333,0.6666666666666666,122710.66666666669
1111056000,서울특별시 종로구 평창동,종로구,20.2602,18.7188,7.16,매우높음,0.2062,0.3906,2.58,0.0,0.0,17933.322739377254,3698.616681719907,36.333333333333336,1.6666666666666667,121648.66666666669
1117051000,서울특별시 용산구 후암동,용산구,20.7112,18.6581,7.13,매우높음,0.1631,0.7379,2.75,1.0,0.7670805191256447,13036.441091475615,2125.787067248908,27.0,1.0,44780.66666666666
1120067000,서울특별시 성동구 성수2가1동,성동구,22.7292,18.6247,7.11,매우높음,0.1249,0.75,3.32,0.0,0.0,19358.39417939411,2418.577985007278,44.0,1.3333333333333333,247976.3333333333
1147061000,서울특별시 양천구 신월6동,양천구,22.7692,18.4801,7.05,매우높음,0.174,0.6145,3.1,0.0,0.0,4538.290980913392,789.6996803129549,10.333333333333334,0.6666666666666666,35303.666666666664
1114061500,서울특별시 중구 신당동,중구,18.5477,18.042,6.84,매우높음,0.1294,0.5778,3.2,1.0,0.4523826591832426,22105.17975656841,2860.1417191229984,41.0,2.6666666666666665,24059269.0
1141058500,서울특별시 서대문구 신촌동,서대문구,20.2777,18.0187,6.83,매우높음,0.0812,0.6647,2.75,1.0,0.1789208103658165,55890.64782097889,4537.029667367176,113.33333333333331,3.333333333333333,286425.0
