WRINV_NO,FIRE_TYPE_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,BLDG_SRTRF_NM,BLDG_RSCU_DNGCT,GRND_NOFL,UDGD_NOFL,BLDG_GFA,BTTM_AREA,BLDG_STTS_NM,SPFPTG_NM,SMTPR_LCLSF_NM,SMTPR_SCLSF_NM,DTH_CNT,INJPSN_CNT,HNL_DAM_CNT,PRPT_DAM_AMT,DOW_NM,FRSTN_NM,CNTR_NM,RCPT_DT,DSPT_DT,GRNDS_ARVL_DT,BGNN_POTFR_DT,PRFECT_POTFR_DT,CBK_DT,DSPT_REQ_HR,FIRE_SUPESN_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,IGTN_HTSRC_NM,IGTN_HTSRC_SCLSF_NM,IGTN_DMNT_LCLSF_NM,IGTN_DMNT_SCLSF_NM,FRST_IGOBJ_LCLSF_NM,FRST_IGOBJ_SCLSF_NM,IGTN_ISTR_LCLSF_NM,IGTN_ISTR_SCLSF_NM,CMBS_EXPOBJ_LCLSF_NM,CMBS_EXPOBJ_SCLSF_NM,FCLT_PLC_LCLSF_NM,FCLT_PLC_MCLSF_NM,FCLT_PLC_SCLSF_NM,IGTN_FLR_NM,SO_AREA,FIRE_INSRNC_OBLG_TRGT_YN,ARSON_MNG_TRGT_YN,MUB_YN,VHCL_PLC_NM,VHCL_IGTN_PSTN_NM,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM
230922153854771,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,4,1,2452.0,650.0,사용중,교육연구시설,전기,380/220V이상 상용전원,0,0,0,156,월,거제소방서,신현119안전센터,20230922141000,20230922141000,20230922141000,20230922141000,20230922141000,20230922153000,000000,000000,경상남도,거제시,12,1,0.0,작동기기,작동기기,전기적 요인,미확인단락,"전기,전자",전선피복,배선/배선기구,옥내 인입배선,,,주거,공동주택,기숙사,4.0,0.0,N,Y,N,,,,,3.6,0~4 m/s,북서,30.0
230206070140435,"건축,구조물",조립식,비닐하우스 파이프조,비닐하우스,3.0,1,0,3715.0,487.0,사용중,,,,0,0,0,951,월,음성소방서,대소안전센터,20230206041659,20230206041732,20230206042613,20230206043101,20230206045440,20230206065948,000521,001707,충청북도,음성군,12,3,0.0,작동기기,작동기기,기계적 요인,"과열, 과부하",위험물등,등유,,,,,산업시설,동식물시설,농예용 온실,1.0,0.0,N,N,N,,,,,-3.6,0~4 m/s,북,88.0
231227140922465,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,5.0,29,1,81667.0,9431.0,사용중,공동주택,가스,부탄가스,0,0,0,42157,월,밀양소방서,교동119안전센터,20230814163759,20230814164528,20230814165242,20230814165243,20230814165244,20230814184528,000434,000002,경상남도,밀양시,3,3,0.0,작동기기,작동기기,부주의,"기기(전기, 기계 등) 사용.설치부주의",가연성가스,부탄가스,기타,기타,기타,기타,주거,공동주택,아파트,19.0,201.0,N,N,N,,,,,28.9,0~4 m/s,북,42.0
230829125535750,"건축,구조물",조립식,샌드위치패널조,샌드위치패널,1.0,1,0,254.0,254.0,사용중,운수자동차관련시설,,,0,0,0,3125,목,안동소방서,풍산119안전센터,20230330153804,20230330153842,20230330154418,20230330154942,20230330154943,20230330154953,000336,000325,경상북도,안동시,14,4,1.0,미상(발화원인),미상(발화원인),미상,미상,쓰레기류,쓰레기,,,,,운수자동차시설,자동차시설,"자동차검사장, 매매장, 부속상, 정비공장",1.0,10.0,N,N,N,,,,,23.0,0~4 m/s,서,0.0
230131111556815,"건축,구조물",양식(옥),벽돌조,슬라브가,1.0,2,1,171.0,171.0,사용중,,,,0,0,0,622,화,청양소방서,청양119안전센터,20230131083639,20230131084040,20230131084250,20230131084539,20230131084539,20230131092610,000130,000169,충청남도,청양군,1,1,0.0,미상(발화원인),미상(발화원인),미상,미상,합성수지,기타(합성수지),,,위험물등,기타(위험물등),주거,기타주택,기타 주택,1.0,10.0,N,N,N,,,,,-7.8,0~4 m/s,남동,46.0
230131141118945,"건축,구조물",조립식,컨테이너조,컨테이너,1.0,1,0,18.0,0.0,사용중,,기타,기타,0,0,0,2146,화,부천소방서,오정119안전센터,20230131113237,20230131113324,20230131114126,20230131114611,20230131115019,20230131130407,000482,000533,경기도,부천시,8,4,0.0,미상(발화원인),미상(발화원인),미상,미상,기타,기타,미상,미상,,,기타서비스,기타건축물,기타 건축물,1.0,0.0,N,N,N,,,,,1.4,0~4 m/s,동,47.0
230131175446649,기타(쓰레기 화재등),,,,,,,,,,,,,0,0,0,0,화,북부소방서,구포119안전센터,20230131151848,20230131152123,20230131153232,20230131153621,20230131153621,20230131165124,000669,000229,부산광역시,북구,11,4,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,"종이,목재,건초등","목재, 합판",,,,,기타,야외,기타야외,,,N,N,N,,,,,9.9,0~4 m/s,남서,25.0
230121195840347,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,,3,1,405.0,129.0,사용중,근린생활시설,전기,380/220V이상 상용전원,0,0,0,211,토,동부소방서,전하119안전센터,20230121170757,20230121170939,20230121171418,20230121172010,20230121172010,20230121185805,000279,000352,울산광역시,동구,8,4,0.0,작동기기,작동기기,기계적 요인,"과열, 과부하",식품,튀김유,주방기기,전기전자 그릴/오븐,,,생활서비스,음식점,"치킨,족발",1.0,0.0,N,N,N,,,,,-2.0,0~4 m/s,북서,23.0
230131210701798,"자동차,철도차량",,,,,,,,,,,,,0,0,0,5148,화,화성소방서,목동119안전센터,20230131172459,20230131172600,20230131173216,20230131174328,20230131175055,20230131191217,000376,001119,경기도,화성시,3,5,0.0,작동기기,작동기기,전기적 요인,미확인단락,"전기,전자","전기, 전자기기 기판","차량, 선박부품","기타(차량,선박부품)",,,"자동차,철도차량",자동차,승용자동차,,,N,N,N,주차장,엔진룸,,,2.4,0~4 m/s,남서,30.0
230201230554128,"건축,구조물",한식(옥),벽돌조,슬라브가,1.0,2,0,162.0,100.0,사용중,,전기,380/220V이상 상용전원,0,0,0,23,수,영덕소방서,영해119안전센터,20230201213632,20230201213738,20230201215031,20230201222843,20230201222843,20230201223546,000773,002292,경상북도,영덕군,17,10,0.0,작동기기,작동기기,기계적 요인,노후,합성수지,기타(합성수지),기타,기타,,,주거,단독주택,단독주택,1.0,0.0,N,N,N,,,,,3.3,0~4 m/s,북서,38.0
