WRINV_NO,FIRE_TYPE_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,BLDG_SRTRF_NM,BLDG_RSCU_DNGCT,GRND_NOFL,UDGD_NOFL,GFA,BTTM_AREA,BLDG_STTS_NM,DTH_CNT,INJPSN_CNT,HNL_DAM_CNT,PRPT_DAM_AMT,OCRN_YR,SEASN_NM,QTR_NO,OCRN_YMD,OCRN_TM,OCRN_MM,OCRN_DAY,OCRN_HR,OCRN_MN,DCLR_DOW,FRSTN_NM,CNTR_NM,LFDAU_NM,DSPT_REQ_TM,FIRE_SUPESN_REQ_TM,GRNDS_CTPV_NM,GRNDS_SGG_NM,CTY_FRMVL_SE_NM,DAMG_RGN_LOT,DAMG_RGN_LAT,GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,IGTN_HTSRC_LCLSF_NM,IGTN_HTSRC_SCLSF_NM,IGTN_DMNT_LCLSF_NM,IGTN_DMNT_SCLSF_NM,FRST_IGOBJ_LCLSF_NM,FRST_IGOBJ_SCLSF_NM,IGTN_ISTR_LCLSF_NM,IGTN_ISTR_SCLSF_NM,CMBS_EXPOBJ_LCLSF_NM,CMBS_EXPOBJ_SCLSF_NM,FCLT_PLC_LCLSF_NM,FCLT_PLC_MCLSF_NM,FCLT_PLC_SCLSF_NM,IGTN_FLR_NM,SO_AREA,FIRE_INSRNC_OBLG_JOIN_TRGT_YN,ARSON_MNG_TRGT_YN,MUB_YN,EMRG_CNTRL_YN,IGTN_PLC_NM,VHCL_IGTN_PSTN_NM,FND_FIRE_SE_NM,FND_FIRE_IGTN_BRNCH_NM,HR_UNIT_ARTMP,HR_UNIT_RN,HR_UNIT_WSPD,HR_UNIT_WNDRCT,HR_UNIT_HUM,HR_UNIT_SNWFL,HR_UNIT_VSDST
240101015112512 ,기타(쓰레기 화재등),,,,,,,,,,0,0,0,151,2024,겨울,1,20240101,001600,01,01,00,16,월요일,송파소방서,거여119안전센터,,000225,000319,서울특별시,송파구,도시,127.1432791,37.49834055,0.5,0.5,0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,재활용,,,,,기타,야외,쓰레기,,,N,N,N,N,,,,,0.6,,2,20,97,2.4,394
240101101509065 ,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,3,1,555.85,0,사용중,0,0,0,319,2024,겨울,1,20240101,083800,01,01,08,38,월요일,강남소방서,역삼119안전센터,,000342,000019,서울특별시,강남구,도시,127.0388074,37.50310576,2.8,1.3,0,작동기기,기기 전도/복사열/기기발열,기계적 요인,과열/ 과부하,전기/전자,작동장치(모터/ 히터/ 램프 등),,,,,생활서비스,음식점,횟집,1,0,N,N,N,N,,,,,,,,,,,
240101134810062 ,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,3,1,521.84,144.62,사용중,0,0,0,217,2024,겨울,1,20240101,094200,01,01,09,42,월요일,광진소방서,능동119안전센터,,000038,000954,서울특별시,광진구,도시,127.0800535,37.55526056,2,0.8,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,기타(부주의),침구/직물류,의류,,,,,주거,단독주택,다가구주택,1,0,N,N,N,N,,,,,0.6,,1,50,99,2.4,587
240101144706520 ,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,2,1,146.7,48.66,사용중,0,0,0,101,2024,겨울,1,20240101,100600,01,01,10,06,월요일,광진소방서,능동119안전센터,,000359,000718,서울특별시,광진구,도시,127.068304,37.5426909,2.5,1.9,0,작동기기,기기 전도/복사열/기기발열,기계적 요인,과열/ 과부하,합성수지,플라스틱/ PVC/ 비닐/ 장판,,,,,주거,단독주택,단독주택,-1,0,N,N,N,N,,,,,2.4,,1,70,95,2.4,1140
240101123154170 ,자동차/철도차량,,,,,,,,,,0,0,0,4400,2024,겨울,1,20240101,102700,01,01,10,27,월요일,영등포소방서,여의도119안전센터,,000248,002327,서울특별시,영등포구,도시,126.9348312,37.51831433,3.4,1.3,0,마찰/ 전도/ 복사,마찰열/마찰 스파크,기계적 요인,과열/ 과부하,미상,미상,차량/ 선박부품,기타(차량/선박부품),전기/전자,작동장치(모터/ 히터/ 램프 등),자동차/철도차량,자동차,승용자동차,,,N,N,N,N,주차장,,,,2.4,,1,70,95,2.4,1140
240101144433068 ,자동차/철도차량,,,,,,,,,,0,0,0,50789,2024,겨울,1,20240101,112100,01,01,11,21,월요일,종로소방서,신영119안전센터,,000353,010302,서울특별시,종로구,도시,126.9646114,37.59127552,4.4,2.5,0,기타,기타,전기적 요인,미확인단락,자동차/철도차량/선박/항공기,기타(자동차/철도차량/선박/항공기),차량/ 선박부품,기타(차량/선박부품),기타,기타,자동차/철도차량,자동차,승용자동차,,,N,N,N,N,주차장,,,,4.4,,2,70,82,2.2,1519
240101143435579 ,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,3,1,299.16,33.57,사용중,0,0,0,159,2024,겨울,1,20240101,133200,01,01,13,32,월요일,강동소방서,암사119안전센터,,000200,000800,서울특별시,강동구,도시,127.1314741,37.55405329,4,0.5,0,작동기기,불꽃/ 스파크/ 정전기,부주의,기타(부주의),위험물등,기타(위험물등),,,,,주거,단독주택,기타 단독주택,-1,2,N,N,N,N,,,,,7.3,,2,110,70,0.9,1612
240101154802624 ,자동차/철도차량,,,,,,,,,,0,0,0,1450,2024,겨울,1,20240101,142100,01,01,14,21,월요일,강서소방서,개화119안전센터,,000344,000048,서울특별시,강서구,도시,126.8030069,37.55886965,6,2.1,0,작동기기,전기적 아크(단락),미상,미상,자동차/철도차량/선박/항공기,전기배선,차량/ 선박부품,배선,,,자동차/철도차량,자동차,승용자동차,,,N,N,N,N,일반도로,,,,6.5,,2,180,68,0.5,1838
240101223546344 ,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,7,1,2118.44,36.2,사용중,0,0,0,120,2024,겨울,1,20240101,215100,01,01,21,51,월요일,강서소방서,발산119안전센터,,000337,000245,서울특별시,강서구,도시,126.8538779,37.55330198,1.3,1.3,0,작동기기,기기 전도/복사열/기기발열,부주의,가연물 근접방치,합성수지,플라스틱/ PVC/ 비닐/ 장판,,,,,주거,공동주택,다세대주택,3,1,N,Y,N,N,,,,,4.3,0,2,290,77,,1116
240102012309688 ,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,1,700.38,114.48,사용중,0,0,0,44,2024,겨울,1,20240101,235400,01,01,23,54,월요일,마포소방서,서교119안전센터,,000340,001400,서울특별시,마포구,도시,126.9230007,37.55557828,1.9,1,0,작동기기,기타(작동기기),전기적 요인,기타(전기적요인),전기/전자,전기/ 전자기기 기판,조명/ 간판,기타(조명/간판),,,생활서비스,일상서비스,사진관,1,0,N,N,N,N,,,,,3.9,,2,270,82,,737
240102112709411 ,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,2,0,998.92,499.46,사용중,0,0,0,13106,2024,겨울,1,20240102,060300,01,02,06,03,화요일,성동소방서,성수119안전센터,,000548,012926,서울특별시,성동구,도시,127.0608892,37.54521569,2.5,2,0,작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,종이/목재/건초등,기타(종이/목재/건초등),,,,,산업시설,공장시설,그 밖의 공업,2,0,N,N,N,N,,,,,2.3,,1,340,84,,560
240102085708076 ,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,0,568.3,156.46,사용중,0,0,0,103,2024,겨울,1,20240102,075900,01,02,07,59,화요일,강북소방서,삼각산119안전센터,,000314,000112,서울특별시,강북구,도시,127.0171487,37.63191698,2.8,2.1,0,작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,전기/전자,전자기기 부속품,주방기기,전기레인지,,,주거,공동주택,다세대주택,2,0,N,N,N,N,,,,,2.2,,0,0,82,,633
240103171204421 ,건축/구조물,양식(옥),벽돌조,슬라브가,1,2,1,323.19,107.73,사용중,0,1,1,107,2024,겨울,1,20240102,110000,01,02,11,00,화요일,관악소방서,관악119안전센터,,000522,000000,서울특별시,관악구,도시,126.9651052,37.46977734,2.5,2.5,0,작동기기,불꽃/ 스파크/ 정전기,부주의,기기(전기/ 기계 등) 사용.설치부주의,가연성가스,천연가스,주방기기,가스렌지,가연성가스,천연가스,주거,공동주택,다세대주택,2,1,N,N,N,N,,,,,3.1,,2,290,73,,1035
