MLT_UTZTN_BSSH_SN,FRSTN_NM,CNTR_NM,CONM_NM,TPBIZ_NM,REG_DT,REG_YMD,REG_TM,REG_YR,REG_MM,REG_DAY,BDST_USG_NM,INSTL_DCLR_YMD,PFCMP_YMD,STTS_SCSN_YMD,CONM_ADDR,ROAD_NM,BLDG_NM,NLMBLT_MATRL_DSCTN,NLMBLT_INSTL_AREA,FRRST_CMDTY_NM,FRRST_INSTL_AREA,FLR_NO_NM,TRGTOBJ_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,CORP_YN,USE_YN
MU272010100830,중부소방서,삼덕119안전센터,붐,유흥주점,20210811101528,20210811,101528,2021,08,11,근린생활시설,20100720,20100720,20160719,대구광역시 중구 삼덕동1가 ,동성로4길,,석고보드. 타일 등,344.0,벽체장식 외,19.0,1/3,,양식(옥),철근콘크리트조,,Y
MU272011109271,수성소방서,수성119안전센터,블루노래연습장,노래연습장업,20211118100955,20211118,100955,2021,11,18,근린생활시설,,20070530,20211118,대구광역시 수성구 수성동4가 ,들안로,,,,,,1/4,부기다방건물 - 부기다방동,양식(옥),철근콘크리트조,,Y
MU272011108176,수성소방서,수성119안전센터,콤비,노래연습장업,20210218142432,20210218,142432,2021,02,18,근린생활시설,,20070530,,대구광역시 수성구 수성동1가 ,명덕로,,,,,,1/5,세광빌딩 - 세왕빌딩동,양식(옥),철근콘크리트조,,Y
MU272010102591,동부소방서,안심119안전센터,황금노래연습장(신규필증발급됨),노래연습장업,20210903102706,20210903,102706,2021,09,03,근린생활시설,20100616,20100611,,대구광역시 동구 동호동 ,동호로3길,,석고보드,340.0,,,5,,양식(옥),철근콘크리트조,,Y
MU272010101854,동부소방서,신천119안전센터,퀸,유흥주점,20211108094002,20211108,094002,2021,11,08,위락시설,20100217,20100217,20211014,대구광역시 동구 신천동 ,동부로22길,,석고위에 핸디.타일,222.0,MDF,38.0,3/1,,양식(옥),철근콘크리트조,,Y
MU272010100662,강서소방서,성서119안전센터,오드리헵번DVD,비디오물감상실업,20210513165013,20210513,165013,2021,05,13,,20100526,20100528,20210512,대구광역시 달서구 신당동 ,서당로9길,,석고보드 등,923.0,MDF,31.0,1/5,,양식(옥),철근콘크리트조,,Y
MU502009100915,서부소방서,한림센터,부킹(구/ 천왕성/ 구/청향),단란주점,20211109145546,20211109,145546,2021,11,09,,,20070416,20211103,제주특별자치도 제주시 한림읍 한림리,사가길,,,,없음,,1/4,,양식(옥),철근콘크리트조,,Y
MU502009102408,제주소방서,연동센터,환타,단란주점,20210227210351,20210227,210351,2021,02,27,근린생활시설,,20070504,20210203,제주특별자치도 제주시 연동 ,노연로,,,,,,1/4,빨간능금 - 204-본동동,양식(옥),철근콘크리트조,,Y
MU502009101217,제주소방서,오라센터,꿈속,단란주점,20210805172845,20210805,172845,2021,08,05,근린생활시설,,20070207,20210624,제주특별자치도 제주시 삼도일동 ,서사로,,석고보드,,실내장식물,2.0,3/1,089 한양부엌가구건물(모라도) - 모라도건물동,양식(옥),철근콘크리트조,,Y
MU502009100259,서부소방서,대정센터,신세원,유흥주점,20210810075128,20210810,075128,2021,08,10,복합건축물,,20081031,20210806,제주특별자치도 서귀포시 대정읍 하모리,신영로,한국물류,,,방염필름,23.0,1/5,신세원단란주점 - 본동동,양식(옥),철근콘크리트조,,Y
